Testing_Env,consumer_card_number,amount,transaction_type,currency,tid,merchant_name,merchant_id,merchant_email,merchant_pwd,totp_secret,first_name,last_name,phone
Stage,9000013955775071,2,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
Stage,9000013955775071,2,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
Stage,9000013955775071,2,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
Stage,9000013955775071,2,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
Stage,9000013955775071,2,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
Stage,9000013955775071,2,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
Stage,9000013955775071,2,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
Stage,9000013955775071,2,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
Stage,9000013955775071,2,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
Stage,9000013955775071,2,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
Stage,9000013955775071,2,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
Stage,9000013955775071,2,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
Stage,9000013955775071,2,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
Stage,9000013955775071,2,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
Stage,9000013955775071,2,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
Stage,9000013955775071,2,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
Stage,9000013955775071,2,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
Stage,9000013955775071,2,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
Stage,9000013955775071,2,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
Stage,9000013955775071,2,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
Stage,9000013955775071,2,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
Stage,9000013955775071,2,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
