Testing_Env,consumer_card_number,amount,transaction_type,currency,tid,merchant_name,merchant_id,merchant_email,merchant_pwd,totp_secret,first_name,last_name,phone
Stage,9000013955775071,2.1234567,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
Stage,9000013955775071,3.34567890,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
Stage,9000013955775071,4.100005068,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
Stage,9000013955775071,5.00001111111,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
Stage,9000013955775071,6.987654321,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
Stage,9000013955775071,7.987654,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
Stage,9000013955775071,8.123456,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
Stage,9000013955775071,9.2223334440000,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
Stage,9000013955775071,10.1234567,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
Stage,9000013955775071,11.0000000000,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
